file_id,meta,left,node,right,freq,ttr,entropy,section
W_JPN_PTJ_A2_0_006,JPN,I agree the statement which,it is important,for college students to have,367,0.182,0.636,top
W_JPN_PTJ_B1_2_36,JPN,'s why I agree that,it is important,for college students to have,367,0.182,0.636,top
W_JPN_PTJ_A2_0_133,JPN,agree with the idea that,it is important,to have a part time,367,0.182,0.636,top
W_JPN_PTJ_A2_0_047,JPN,disagree with the statement that,it is important,for college students to have,367,0.182,0.636,top
W_JPN_PTJ_B1_1_072,JPN,job . But I think,it is important,to do both of them,367,0.182,0.636,top
W_JPN_PTJ_A2_0_123,JPN,I agree the idea that,it is important,for college students to have,367,0.182,0.636,top
W_JPN_PTJ_A2_0_086,JPN,"in school . So ,",it is important,for us to learn what,367,0.182,0.636,top
W_JPN_SMK_B2_0_12,JPN,"solve the problem , so",it is important,for us to think of,367,0.182,0.636,top
W_JPN_PTJ_A2_0_093,JPN,college . So I think,it is important,for them to have a,367,0.182,0.636,top
W_JPN_PTJ_B1_2_10,JPN,I agree the statement that,it is important,for college students to have,367,0.182,0.636,top
W_ENS_PTJ_XX2_14,ENS,"while working . Secondly ,",it is important,to consider the character -,367,0.182,0.636,top
W_JPN_PTJ_B1_2_42,JPN,fulfillment . So I think,it is important,to have a part time,367,0.182,0.636,top
W_JPN_PTJ_A2_0_058,JPN,agree with the statement that,it is important,for college students to have,367,0.182,0.636,top
W_JPN_PTJ_A2_0_151,JPN,"of life . Surely ,",it is important,to have a part time,367,0.182,0.636,top
W_JPN_PTJ_A2_0_074,JPN,statement . And I think,it is important,for college students t o,367,0.182,0.636,top
W_ENS_PTJ_XX1_088,ENS,leave college . I think,it is important,to have a part time,367,0.182,0.636,top
W_JPN_PTJ_B1_2_03,JPN,I agree that,it is important,for college students to have,367,0.182,0.636,top
W_JPN_SMK_A2_0_068,JPN,cigarette . I think that,it is important,to watch from various angles,367,0.182,0.636,top
W_JPN_PTJ_B1_1_152,JPN,I think,it is important,for college students to have,367,0.182,0.636,top
W_JPN_PTJ_A2_0_073,JPN,"these reasons , I think",it is important,for college students to have,367,0.182,0.636,top
W_ENS_PTJ_XX1_009,ENS,by their parents and so,it is important,to learn how to make,367,0.182,0.636,top
W_JPN_PTJ_B1_1_062,JPN,. But I think that,it is important,to do part time job,367,0.182,0.636,top
W_JPN_PTJ_B1_1_128,JPN,I think that,it is important,for college students to have,367,0.182,0.636,top
W_JPN_PTJ_B1_2_25,JPN,disagree with the statement that,it is important,for college students to have,367,0.182,0.636,top
W_JPN_PTJ_B1_2_04,JPN,agree with the statement that,it is important,for college students to have,367,0.182,0.636,top
W_JPN_SMK_A2_0_084,JPN,"lunch in the restaurant ,",it is important,to stop smoking .,367,0.182,0.636,top
W_JPN_PTJ_A2_0_142,JPN,three reasons why I think,it is important,". First of all ,",367,0.182,0.636,top
W_JPN_PTJ_B1_2_05,JPN,agree with this statement that,it is important,for college students to have,367,0.182,0.636,top
W_JPN_PTJ_B2_0_11,JPN,. Therefore I agree that,it is important,for college students to have,367,0.182,0.636,top
W_JPN_PTJ_A2_0_100,JPN,I think that,it is important,for college students to have,367,0.182,0.636,top
W_JPN_PTJ_B1_1_173,JPN,my friends told me that,it is important,to know our society is,367,0.182,0.636,top
W_JPN_PTJ_B1_2_40,JPN,I think,it is important,for college students to have,367,0.182,0.636,top
W_JPN_SMK_B1_1_110,JPN,"enjoy eating . Therefore ,",it is important,to separate each area .,367,0.182,0.636,top
W_JPN_PTJ_B2_0_13,JPN,". So , I think",it is important,for college students to have,367,0.182,0.636,top
W_JPN_PTJ_B1_1_044,JPN,life . So I think,it is important,for college students to have,367,0.182,0.636,top
W_ENS_PTJ_XX1_008,ENS,for them and I think,it is important,for us to learn how,367,0.182,0.636,top
W_JPN_PTJ_B1_1_072,JPN,up by them . Secondly,it is important,to earn money I spend,367,0.182,0.636,top
W_JPN_PTJ_B1_1_063,JPN,me . Therefore I think,it is important,for college students to have,367,0.182,0.636,top
W_JPN_PTJ_B1_1_104,JPN,and people . I feel,it is important,to spend a limited time,367,0.182,0.636,top
W_JPN_PTJ_A2_0_079,JPN,I think,it is important,for college students to have,367,0.182,0.636,top
W_JPN_PTJ_B1_1_131,JPN,agree with the opinion that,it is important,for college students to have,367,0.182,0.636,top
W_JPN_PTJ_A2_0_094,JPN,"reasons , I think that",it is important,for college students to have,367,0.182,0.636,top
W_ENS_PTJ_XX1_006,ENS,friends and family think that,it is important,for college students to have,367,0.182,0.636,top
W_JPN_PTJ_B1_1_127,JPN,I agree that,it is important,for college students to have,367,0.182,0.636,top
W_JPN_PTJ_B1_1_030,JPN,That 's why I think,it is important,for college student to have,367,0.182,0.636,top
W_JPN_PTJ_A2_0_103,JPN,I think,it is important,for college students to have,367,0.182,0.636,top
W_ENS_PTJ_XX3_42,ENS,I agree that,it is important,. Students quite often think,367,0.182,0.636,top
W_JPN_PTJ_B2_0_12,JPN,is why I think that,it is important,for students to get work,367,0.182,0.636,top
W_ENS_PTJ_XX3_09,ENS,"a job then yes ,",it is important,to have a part -,367,0.182,0.636,top
W_JPN_PTJ_A2_0_070,JPN,I agree this opinion that,it is important,for college students to have,367,0.182,0.636,top
W_JPN_SMK_B1_1_114,JPN,I suggest that,it is important,not only in Japan but,367,0.182,0.636,top
W_JPN_PTJ_B1_2_48,JPN,agree with the idea that,it is important,for college students to have,367,0.182,0.636,top
W_JPN_PTJ_A2_0_139,JPN,and so on . Therefore,it is important,for college students to have,367,0.182,0.636,top
W_JPN_PTJ_A2_0_049,JPN,I think,it is important,for college students to have,367,0.182,0.636,top
W_JPN_PTJ_B1_1_134,JPN,I think that,it is important,for college students to have,367,0.182,0.636,top
W_ENS_PTJ_XX3_19,ENS,agree with the statement that,it is important,for college students to have,367,0.182,0.636,top
W_JPN_PTJ_B1_1_066,JPN,guitar . So I think,it is important,for college students to have,367,0.182,0.636,top
W_ENS_PTJ_XX1_080,ENS,"The opinion , that",it is important,for college student to have,367,0.182,0.636,top
W_JPN_PTJ_B1_1_066,JPN,I agree that,it is important,for college students to have,367,0.182,0.636,top
W_JPN_PTJ_B1_1_106,JPN,"these reasons , I think",it is important,for college students to have,367,0.182,0.636,top
W_JPN_PTJ_A2_0_081,JPN,"become happiness . Third ,",it is important,for a part time job,367,0.182,0.636,top
W_JPN_PTJ_B1_2_42,JPN,I think,it is important,for college students to have,367,0.182,0.636,top
W_JPN_PTJ_A2_0_053,JPN,I think,it is important,for college students to have,367,0.182,0.636,top
W_JPN_SMK_A2_0_037,JPN,restaurant but also other places,it is important,for them to understand their,367,0.182,0.636,top
W_JPN_PTJ_B1_2_01,JPN,I agree this statement that,it is important,for college students to have,367,0.182,0.636,top
W_JPN_PTJ_A2_0_128,JPN,I think that,it is important,for college students to have,367,0.182,0.636,top
W_JPN_PTJ_A2_0_020,JPN,This is why I think,it is important,for college students to have,367,0.182,0.636,top
W_JPN_PTJ_A2_0_067,JPN,I think,it is important,for college students to have,367,0.182,0.636,top
W_JPN_PTJ_B2_0_11,JPN,I think,it is important,for college students to have,367,0.182,0.636,top
W_JPN_PTJ_A2_0_060,JPN,I think,it is important,to have a part time,367,0.182,0.636,top
W_JPN_PTJ_B1_1_136,JPN,"three reasons , I believe",it is important,for college people to have,367,0.182,0.636,top
W_JPN_PTJ_B1_1_018,JPN,I agree that,it is important,for college students to have,367,0.182,0.636,top
W_JPN_PTJ_A2_0_012,JPN,I think,it is important,for college students to have,367,0.182,0.636,top
W_JPN_PTJ_B1_1_158,JPN,I think,it is important,for college students to have,367,0.182,0.636,top
W_JPN_PTJ_B1_1_060,JPN,I think,it is important,for college students to have,367,0.182,0.636,top
W_JPN_PTJ_B1_1_105,JPN,agree with an opinion that,it is important,for college students to have,367,0.182,0.636,top
W_JPN_PTJ_A2_0_026,JPN,I agree that,it is important,for college students to have,367,0.182,0.636,top
W_JPN_PTJ_B1_1_154,JPN,statement . I think that,it is important,for college students to have,367,0.182,0.636,top
W_JPN_PTJ_A2_0_073,JPN,similar age . I think,it is important,for us to communicate with,367,0.182,0.636,top
W_JPN_PTJ_A2_0_092,JPN,I think,it is important,for college students to have,367,0.182,0.636,top
W_JPN_PTJ_A2_0_077,JPN,. Therefore I think that,it is important,for college students to have,367,0.182,0.636,top
W_JPN_PTJ_A2_0_044,JPN,time job . I think,it is important,to gain social experience by,367,0.182,0.636,top
W_JPN_PTJ_B1_1_169,JPN,disagree with the opinion that,it is important,for college students to have,367,0.182,0.636,top
W_ENS_PTJ_XX1_001,ENS,I do n't believe that,it is important,for students to have a,367,0.182,0.636,top
W_JPN_PTJ_A2_0_110,JPN,agree that . I think,it is important,for college students to have,367,0.182,0.636,top
W_JPN_PTJ_B1_1_058,JPN,agree with the statement that,it is important,for students to have a,367,0.182,0.636,top
W_ENS_PTJ_XX3_46,ENS,I do n't believe that,it is important,while they are at college,367,0.182,0.636,top
W_JPN_PTJ_B1_1_150,JPN,", I agree the idea",it is important,for college students to have,367,0.182,0.636,top
W_JPN_PTJ_B1_2_15,JPN,"of these , I think",it is important,for college student to have,367,0.182,0.636,top
W_JPN_PTJ_B1_1_114,JPN,agree with the opinion that,it is important,for college students to have,367,0.182,0.636,top
W_JPN_PTJ_B1_2_29,JPN,I think that,it is important,for college student to have,367,0.182,0.636,top
W_ENS_PTJ_XX2_15,ENS,I do not think,it is important,for college students to have,367,0.182,0.636,top
W_JPN_PTJ_B1_1_035,JPN,is why I think that,it is important,for college students to have,367,0.182,0.636,top
W_ENS_PTJ_XX3_01,ENS,. I do believe that,it is important,for the kids to stay,367,0.182,0.636,top
W_JPN_PTJ_B1_1_082,JPN,adults . So I think,it is important,for college students to have,367,0.182,0.636,top
W_ENS_PTJ_XX1_078,ENS,I do not personally think,it is important,for college students to have,367,0.182,0.636,top
W_JPN_PTJ_A2_0_077,JPN,I think that,it is important,for college students to have,367,0.182,0.636,top
W_JPN_SMK_A2_0_080,JPN,tobacco tax . In Japan,it is important,to receive tobacco tax .,367,0.182,0.636,top
W_JPN_PTJ_B1_1_175,JPN,My opinion is that,it is important,for college students to have,367,0.182,0.636,top
W_JPN_PTJ_B1_2_49,JPN,things . So I think,it is important,for young people to have,367,0.182,0.636,top
W_JPN_PTJ_B1_1_097,JPN,agree with this idea that,it is important,for college students to have,367,0.182,0.636,top
W_JPN_PTJ_B1_1_068,JPN,human relationships . I thought,it is important,not only to teach subjects,367,0.182,0.636,top
W_JPN_PTJ_B1_1_138,JPN,I think that,it is important,for college students to have,367,0.182,0.636,top
W_JPN_PTJ_B1_1_063,JPN,I think,it is important,for college students to have,367,0.182,0.636,top
W_JPN_PTJ_A2_0_063,JPN,I agree that,it is important,for college students to have,367,0.182,0.636,top
W_ENS_PTJ_XX1_023,ENS,make sense to say that,it is important,for college students to have,367,0.182,0.636,top
W_JPN_PTJ_B1_1_115,JPN,I also think that,it is important,for college students to have,367,0.182,0.636,top
W_ENS_PTJ_XX3_18,ENS,I agree and do believe,it is important,for college students to have,367,0.182,0.636,top
W_JPN_PTJ_B1_1_033,JPN,I think that,it is important,for college students to have,367,0.182,0.636,top
W_JPN_PTJ_B1_1_118,JPN,", I agree with that",it is important,for college students to have,367,0.182,0.636,top
W_JPN_SMK_A2_0_143,JPN,"from smoking . Thus ,",it is important,for us to increase or,367,0.182,0.636,top
W_JPN_PTJ_A2_0_135,JPN,"for most of student ,",it is important,", but if you had",367,0.182,0.636,top
W_ENS_PTJ_XX3_43,ENS,I do n't believe that,it is important,to have one just because,367,0.182,0.636,top
W_JPN_PTJ_B1_1_038,JPN,I think,it is important,for collage students to have,367,0.182,0.636,top
W_JPN_PTJ_A2_0_038,JPN,I think,it is important,for college students to have,367,0.182,0.636,top
W_JPN_PTJ_A2_0_020,JPN,grown your mind . Third,it is important,for college students to bring,367,0.182,0.636,top
W_JPN_PTJ_A2_0_130,JPN,study . I think that,it is important,for the college student to,367,0.182,0.636,top
W_JPN_PTJ_A2_0_066,JPN,I agree the statement that,it is important,for college students to have,367,0.182,0.636,top
W_JPN_PTJ_B1_1_143,JPN,I think that,it is important,for college students to have,367,0.182,0.636,top
W_JPN_PTJ_A2_0_060,JPN,it . So I think,it is important,to have a part time,367,0.182,0.636,top
W_JPN_PTJ_A2_0_072,JPN,students . So I think,it is important,for us to have a,367,0.182,0.636,top
W_JPN_PTJ_A2_0_028,JPN,I think,it is important,for college students to have,367,0.182,0.636,top
W_JPN_PTJ_B1_1_035,JPN,I agree with that,it is important,for college students to have,367,0.182,0.636,top
W_JPN_PTJ_B1_1_139,JPN,". So , I think",it is important,that we have to fulfill,367,0.182,0.636,top
W_JPN_PTJ_A2_0_146,JPN,". So , I think",it is important,for collage students to have,367,0.182,0.636,top
W_JPN_PTJ_A2_0_089,JPN,agree with this statement which,it is important,for college students to have,367,0.182,0.636,top
W_JPN_PTJ_B1_1_040,JPN,"with the following statement ,",it is important,for college students to have,367,0.182,0.636,top
W_JPN_PTJ_B1_1_132,JPN,I think,it is important,for college students to have,367,0.182,0.636,top
W_JPN_PTJ_B1_1_141,JPN,I think,it is important,for collage students to have,367,0.182,0.636,top
W_JPN_PTJ_A2_0_136,JPN,I think,it is important,for college students to have,367,0.182,0.636,top
W_JPN_PTJ_B1_2_38,JPN,I agree the statement that,it is important,for college students to have,367,0.182,0.636,top
W_JPN_PTJ_B1_1_027,JPN,disagree with the idea that,it is important,for college students to have,367,0.182,0.636,top
W_ENS_PTJ_XX2_42,ENS,agree and I believe that,it is important,for college students to have,367,0.182,0.636,top
W_JPN_PTJ_B1_2_15,JPN,agree with this idea that,it is important,for college students to have,367,0.182,0.636,top
W_ENS_PTJ_XX3_27,ENS,", I do not think",it is important,for them to work part,367,0.182,0.636,top
W_JPN_PTJ_B1_1_079,JPN,"do n't like , but",it is important,to do job together .,367,0.182,0.636,top
W_JPN_PTJ_A2_0_078,JPN,I think,it is important,for college students to have,367,0.182,0.636,top
W_JPN_PTJ_B1_2_36,JPN,I agree that,it is important,for college students to have,367,0.182,0.636,top
W_JPN_PTJ_B1_2_22,JPN,agree with the opinion that,it is important,for college students to have,367,0.182,0.636,top
W_JPN_PTJ_A2_0_050,JPN,", I want to say",it is important,to have a part time,367,0.182,0.636,top
W_JPN_PTJ_B1_1_101,JPN,. So I think that,it is important,for college students to have,367,0.182,0.636,top
W_JPN_PTJ_A2_0_138,JPN,But I also think that,it is important,for them to experience various,367,0.182,0.636,top
W_JPN_SMK_B1_1_020,JPN,spaces . So I think,it is important,for smoking to be banned,367,0.182,0.636,top
W_JPN_PTJ_A2_0_065,JPN,"above , I think that",it is important,for college students to have,367,0.182,0.636,top
W_JPN_PTJ_B1_1_020,JPN,opinion . Because I think,it is important,for university students to learn,367,0.182,0.636,top
W_JPN_PTJ_B1_1_064,JPN,"reasons , I think that",it is important,for college students to have,367,0.182,0.636,top
W_JPN_PTJ_A2_0_093,JPN,statement . Because I think,it is important,for college students to study,367,0.182,0.636,top
W_ENS_PTJ_XX2_44,ENS,need to work or that,it is important,"for them , because clearly",367,0.182,0.636,top
W_ENS_PTJ_XX3_46,ENS,jump to the conclusion that,it is important,for everybody .,367,0.182,0.636,top
W_JPN_PTJ_B1_1_016,JPN,"closing adults . Third ,",it is important,for them to have an,367,0.182,0.636,top
W_JPN_PTJ_A2_0_052,JPN,"conclusion , I agree that",it is important,for college students to have,367,0.182,0.636,top
W_JPN_PTJ_B1_1_031,JPN,"be an engineer , so",it is important,to learn operating machines and,367,0.182,0.636,top
W_ENS_PTJ_XX2_24,ENS,I do n't think that,it is important,for college students to have,367,0.182,0.636,top
W_ENS_PTJ_XX2_44,ENS,I agree that,it is important,"but for some students ,",367,0.182,0.636,top
W_JPN_PTJ_B1_1_068,JPN,agree with the idea that,it is important,for colleague student to have,367,0.182,0.636,top
W_JPN_PTJ_B1_2_07,JPN,agree with the idea that,it is important,to for college students to,367,0.182,0.636,top
W_JPN_PTJ_A2_0_047,JPN,I do n't think that,it is important,for college students to have,367,0.182,0.636,top
W_JPN_PTJ_B1_1_060,JPN,From such thing I think,it is important,for college students to have,367,0.182,0.636,top
W_JPN_PTJ_B1_1_053,JPN,agree with the statement that,it is important,for college student to have,367,0.182,0.636,top
W_JPN_PTJ_A2_0_122,JPN,worker . So I think,it is important,for college students to have,367,0.182,0.636,top
W_JPN_PTJ_A2_0_028,JPN,these reason I think that,it is important,for college students to have,367,0.182,0.636,top
W_ENS_PTJ_XX1_072,ENS,agree with the topic that,it is important,for college students to have,367,0.182,0.636,top
W_JPN_PTJ_B1_1_176,JPN,"trouble surely . So ,",it is important,for college students to have,367,0.182,0.636,top
W_JPN_PTJ_B1_1_134,JPN,"way , I think that",it is important,for college students to have,367,0.182,0.636,top
W_JPN_PTJ_A2_0_032,JPN,it is very high but,it is important,to try to pay such,367,0.182,0.636,top
W_JPN_SMK_B1_1_002,JPN,of restaurants clean . And,it is important,for people who go to,367,0.182,0.636,top
W_JPN_PTJ_B1_1_136,JPN,I think that,it is important,for college people to have,367,0.182,0.636,top
W_JPN_PTJ_A2_0_081,JPN,"time job . First ,",it is important,for a part time job,367,0.182,0.636,top
W_JPN_PTJ_B1_1_153,JPN,agree with the statement that,it is important,for college students to have,367,0.182,0.636,top
W_JPN_PTJ_B2_0_16,JPN,agree with the idea that,it is important,thing for college student to,367,0.182,0.636,top
W_JPN_PTJ_A2_0_146,JPN,I think,it is important,for collage students to have,367,0.182,0.636,top
W_JPN_PTJ_B1_1_077,JPN,I think,it is important,for college students to have,367,0.182,0.636,top
W_ENS_PTJ_XX1_004,ENS,"So , I think that",it is important,for college students to work,367,0.182,0.636,top
W_JPN_PTJ_A2_0_144,JPN,I think,it is important,for college students to have,367,0.182,0.636,top
W_JPN_PTJ_B2_0_02,JPN,for many students . So,it is important,for college students to have,367,0.182,0.636,top
W_JPN_PTJ_B1_2_21,JPN,. But my employer said,it is important,to cope with the problem,367,0.182,0.636,top
W_JPN_PTJ_B1_2_40,JPN,I agree the opinion that,it is important,for college student to have,367,0.182,0.636,top
W_JPN_PTJ_B1_1_151,JPN,agree with the statement that,it is important,for college students to have,367,0.182,0.636,top
W_ENS_PTJ_XX1_062,ENS,agree with the statement that,it is important,for college students to have,367,0.182,0.636,top
W_JPN_PTJ_B2_0_07,JPN,disagree for the statement that,it is important,for college students to have,367,0.182,0.636,top
W_JPN_PTJ_A2_0_010,JPN,. My opinion is that,it is important,for high school students to,367,0.182,0.636,top
W_JPN_PTJ_B1_1_088,JPN,I think,it is important,for college students to have,367,0.182,0.636,top
W_JPN_SMK_A2_0_064,JPN,eat delicious meal . So,it is important,to ban smoking at all,367,0.182,0.636,top
W_JPN_PTJ_A2_0_002,JPN,my parents . I think,it is important,for us to know how,367,0.182,0.636,top
W_JPN_PTJ_B1_1_129,JPN,I agree that,it is important,for college students to have,367,0.182,0.636,top
W_ENS_PTJ_XX3_55,ENS,very real work experience .,It is important,that students learn that they,47,0.182,0.636,top
W_JPN_PTJ_A2_0_075,JPN,. That is wage .,It is important,to use the money earned,47,0.182,0.636,top
W_JPN_PTJ_A2_0_036,JPN,"with the following statement """,It is important,for college students to have,47,0.182,0.636,top
W_ENS_SMK_XX3_09,ENS,be far from popular .,It is important,that we stand fast when,47,0.182,0.636,top
W_JPN_PTJ_A2_0_019,JPN,detail of the job .,It is important,that we choose a job,47,0.182,0.636,top
W_JPN_PTJ_B2_0_15,JPN,following statement ? 1 .,It is important,for college students to have,47,0.182,0.636,top
W_JPN_PTJ_B1_1_033,JPN,will try your best .,It is important,for student to select the,47,0.182,0.636,top
W_ENS_PTJ_XX1_079,ENS,>>,It is important,for college students to have,47,0.182,0.636,top
