file_id,meta,left,node,right,freq,ttr,entropy,section
W_JPN_SMK_B1_1_021,JPN,"Therefore , I think that",the Japanese Government,have to ban smoking completely,17,0.783,0.947,top
W_ENS_SMK_XX2_14,ENS,I am not sure if,the Japanese Government,has a say in this,17,0.783,0.947,top
W_ENS_SMK_XX1_002,ENS,"legal compliance or otherwise ,",the Japanese Government,would be taking away a,17,0.783,0.947,top
W_ENS_SMK_XX3_03,ENS,assuming of course that only,the Japanese Government,has the legal authority to,17,0.783,0.947,top
W_ENS_SMK_XX3_09,ENS,. The question is would,the Japanese Government,be prepared to back it,17,0.783,0.947,top
W_ENS_SMK_XX2_02,ENS,. The onus is on,the Japanese Government,to introduce a ban and,17,0.783,0.947,top
W_ENS_SMK_XX1_002,ENS,"ban , I think that",the Japanese Government,would be better off testing,17,0.783,0.947,top
W_ENS_SMK_XX3_37,ENS,also inspire more confidence in,the Japanese Government,.,17,0.783,0.947,top
W_ENS_SMK_XX3_45,ENS,' opinions in Japan for,the Japanese Government,to just override and secondly,17,0.783,0.947,top
W_ENS_SMK_XX3_03,ENS,what business is it of,the Japanese Government,", if restaurateurs choose to",17,0.783,0.947,top
W_ENS_SMK_XX2_44,ENS,"their own health , then",the Japanese Government,needs to put their foot,17,0.783,0.947,top
W_ENS_SMK_XX3_36,ENS,of themselves then the least,the Japanese Government,can do or for that,17,0.783,0.947,top
W_ENS_SMK_XX3_41,ENS,". All governments , including",the Japanese Government,are also aware of the,17,0.783,0.947,top
W_ENS_SMK_XX3_47,ENS,would much prefer it if,the Japanese Government,just issued smoking bans outright,17,0.783,0.947,top
W_ENS_SMK_XX3_34,ENS,is astounding to note that,the Japanese Government,has yet to catch up,17,0.783,0.947,top
W_ENS_SMK_XX1_005,ENS,all though I feel that,the Japanese Government,may be surprised at the,17,0.783,0.947,top
W_ENS_SMK_XX2_38,ENS,their own well being than,the Japanese Government,should at least show some,17,0.783,0.947,top
W_ENS_SMK_XX2_09,ENS,group of researchers . Should,the Japanese government,ban barbecues too ? Or,10,0.783,0.947,top
W_ENS_SMK_XX2_10,ENS,in the world . Would,the Japanese government,consider alienating all those potential,10,0.783,0.947,top
W_ENS_SMK_XX1_001,ENS,is a good idea for,the Japanese government,to outright ban smoking in,10,0.783,0.947,top
